path,basename,bytes,sha256,sheets,read_at_utc
/home/gus-pinsoneault/Desktop/lowes_79_ssi_uploads_per_peg_v003/Lowes_7_9_to_7_29_SSI_UPLOAD_Granite_2CM_Fee_Cost_Retail_v003.xlsx,Lowes_7_9_to_7_29_SSI_UPLOAD_Granite_2CM_Fee_Cost_Retail_v003.xlsx,1891858,d85484f98312a5c5116805a75fe4970e8ccbfd6f94ef25fa40dbb31dcaddd045,README_SUMMARY;SSI_PROMO_UPLOAD;Calculation_Audit;Source_Files;Validation,2026-08-05T22:58:16.734071+00:00
/home/gus-pinsoneault/Desktop/lowes_79_ssi_uploads_per_peg_v003/Lowes_7_9_to_7_29_SSI_UPLOAD_Granite_3CM_Fee_Cost_Retail_v003.xlsx,Lowes_7_9_to_7_29_SSI_UPLOAD_Granite_3CM_Fee_Cost_Retail_v003.xlsx,5166187,5a268477e840656a67aa6e389e634e282550a02aa2c9aad555b847e7eba61d88,README_SUMMARY;SSI_PROMO_UPLOAD;Calculation_Audit;Source_Files;Validation,2026-08-05T22:58:16.741945+00:00
/home/gus-pinsoneault/Desktop/lowes_79_ssi_uploads_per_peg_v003/Lowes_7_9_to_7_29_SSI_UPLOAD_Quartz_2CM_Fee_Cost_Retail_v003.xlsx,Lowes_7_9_to_7_29_SSI_UPLOAD_Quartz_2CM_Fee_Cost_Retail_v003.xlsx,8019380,39090cb8e12ec897fbd30ec647a19dbe700600085f19ad17bba13eac9935fe4b,README_SUMMARY;SSI_PROMO_UPLOAD;Calculation_Audit;Source_Files;Validation,2026-08-05T22:58:16.751084+00:00
/home/gus-pinsoneault/Desktop/lowes_79_ssi_uploads_per_peg_v003/Lowes_7_9_to_7_29_SSI_UPLOAD_Quartz_3CM_Fee_Cost_Retail_v003.xlsx,Lowes_7_9_to_7_29_SSI_UPLOAD_Quartz_3CM_Fee_Cost_Retail_v003.xlsx,7709332,9e80910c218e442490ab9052ef135252be202050eb3873ac9f03bf729e172f9c,README_SUMMARY;SSI_PROMO_UPLOAD;Calculation_Audit;Source_Files;Validation,2026-08-05T22:58:16.764901+00:00
/home/gus-pinsoneault/Desktop/lowes_79_ssi_uploads_per_peg_v003/Lowes_7_9_to_7_29_SSI_UPLOAD_Solid_Surface_V2_Fee_Cost_Retail_v003.xlsx,Lowes_7_9_to_7_29_SSI_UPLOAD_Solid_Surface_V2_Fee_Cost_Retail_v003.xlsx,2705952,9e55250a67ea564dfe573d8413c492f4f1b4d697422c66bf774335579308f72d,README_SUMMARY;SSI_PROMO_UPLOAD;Calculation_Audit;Source_Files;Validation,2026-08-05T22:58:16.772228+00:00
