sku,channel2_order_count,channel2_sku_units
1086071,1,8
117318,4,4
1324386,0,0
201314,0,0
420345,12,217
420458,23,313
420460,12,490
420464,12,50
420466,5,17
420469,0,0
420470,0,0
420484,7,14
420488,0,0
420491,1,1
420627,14,15
420630,1,1
